cow_id,breed,rumination_time,avg_lameness,estrus_sign,estrus_status,ax,ay,az,gx,gy,gz,step_count,health_status,label
cow_20,Normal Breed,108,0.67,mounting_others,in_estrus,-0.19,-1.84,0.22,-6.91,-6.87,3.98,30,unhealthy,unhealthy_in_estrus
cow_14,Cross Breed,460,4.1,standing_mount,in_estrus,-3.63,-0.03,-0.39,4,-3.75,5.73,34,unhealthy,unhealthy_in_estrus
cow_18,Cross Breed,80,1.49,restless,in_estrus,0.98,-0.28,-0.99,6.14,0.43,2.49,31,unhealthy,unhealthy_in_estrus
cow_14,Normal Breed,377,1.42,standing_mount,in_estrus,1.09,1.63,-0.71,8.34,1.1,-2.93,21,healthy,healthy_in_estrus
cow_15,Normal Breed,452,1.18,none,not_in_estrus,-0.62,-0.17,-0.88,-1.46,0.44,1.09,8,healthy,healthy_not_in_estrus
cow_15,Normal Breed,420,1.02,none,not_in_estrus,0.19,0.16,0.12,-2.64,0.68,2.23,7,healthy,healthy_not_in_estrus
cow_12,Cross Breed,497,1.03,mounting_others,in_estrus,1.06,1.99,-1.3,-6.27,-1.7,10.4,26,healthy,healthy_in_estrus
cow_12,Normal Breed,400,1.37,standing_mount,in_estrus,0.03,-1.12,4.19,5.26,4.3,1.05,23,healthy,healthy_in_estrus
cow_10,Cross Breed,458,0.51,standing_mount,in_estrus,0.68,0.13,0.27,-1.59,1.56,-2.02,30,healthy,healthy_in_estrus
cow_19,Normal Breed,245,1.18,none,not_in_estrus,0.69,0.66,-0.34,1.53,-1.25,-2.02,10,unhealthy,unhealthy_not_in_estrus
cow_14,Normal Breed,106,0.64,mounting_others,in_estrus,1.74,-0.81,2.27,-4.36,10.61,5.72,24,unhealthy,unhealthy_in_estrus
cow_19,Normal Breed,554,4.31,none,not_in_estrus,-0.45,-0.49,-0.37,0.26,0.99,1.79,10,unhealthy,unhealthy_not_in_estrus
cow_8,Normal Breed,410,3.51,standing_mount,in_estrus,-0.96,-3.01,-1.38,-4.41,4.35,0.74,40,unhealthy,unhealthy_in_estrus
cow_8,Cross Breed,235,0.67,mounting_others,in_estrus,-1.05,-0.06,-1.21,-5.8,0.69,13.61,40,unhealthy,unhealthy_in_estrus
cow_19,Cross Breed,449,3.45,none,not_in_estrus,-0.42,0.02,-0.13,-0.14,1.1,-1.29,7,unhealthy,unhealthy_not_in_estrus
cow_6,Cross Breed,136,1.1,none,not_in_estrus,-0.15,-0.71,-0.42,-0.51,5.02,-4.09,9,unhealthy,unhealthy_not_in_estrus
cow_20,Cross Breed,554,0.88,none,not_in_estrus,1.03,0.91,0.29,2.8,-1.11,1.9,5,healthy,healthy_not_in_estrus
cow_12,Cross Breed,390,0.81,standing_mount,in_estrus,0.88,-2.41,3.64,-0.55,4.16,-11.82,40,healthy,healthy_in_estrus
cow_9,Normal Breed,531,4.21,standing_mount,in_estrus,-2.17,-0.15,-0.98,-9.78,-2.53,4.73,23,unhealthy,unhealthy_in_estrus
cow_11,Cross Breed,593,1.63,none,not_in_estrus,0.17,0.56,-0.58,-1.24,-0.05,-3.52,5,healthy,healthy_not_in_estrus
cow_19,Cross Breed,429,3.54,none,not_in_estrus,0.11,-0.05,0.2,0.26,-1.37,0.98,8,unhealthy,unhealthy_not_in_estrus
cow_18,Normal Breed,507,1.26,none,not_in_estrus,0.33,1.72,-0.06,-0.03,-0.39,-0.01,6,healthy,healthy_not_in_estrus
cow_9,Cross Breed,379,1.79,mounting_others,in_estrus,0.05,0.47,-2.17,1.76,8.34,9.9,26,healthy,healthy_in_estrus
cow_20,Normal Breed,480,1.35,mounting_others,in_estrus,0.9,-0.5,-1.21,-1.66,-0.73,-1.86,26,healthy,healthy_in_estrus
cow_7,Normal Breed,577,1.84,none,not_in_estrus,-0.81,-1.05,0.34,0.74,-2.09,-0.35,10,healthy,healthy_not_in_estrus
cow_12,Cross Breed,423,1.11,none,not_in_estrus,-0.36,-1.27,-0.64,-1.76,-3.83,-2.64,5,healthy,healthy_not_in_estrus
cow_5,Cross Breed,520,1.47,restless,in_estrus,3.11,-0.05,4.05,6.44,2.58,2.1,31,healthy,healthy_in_estrus
cow_8,Cross Breed,237,0.74,standing_mount,in_estrus,-1.62,0.3,-0.19,3.75,7.4,-10.59,28,unhealthy,unhealthy_in_estrus
cow_3,Cross Breed,576,4.6,none,not_in_estrus,-0.17,-1.8,-0.89,0.34,-1.79,3.48,6,unhealthy,unhealthy_not_in_estrus
cow_15,Cross Breed,469,2.81,none,not_in_estrus,-0.11,0.17,0.06,-0.72,1.2,-1.36,6,unhealthy,unhealthy_not_in_estrus
cow_12,Cross Breed,483,1.07,mounting_others,in_estrus,2.76,2.98,1.4,-2.45,-10.16,-4.91,30,healthy,healthy_in_estrus
cow_5,Normal Breed,397,1.94,mounting_others,in_estrus,-0.72,-1.8,-0.66,-4.44,-3.73,-8.02,33,healthy,healthy_in_estrus
cow_3,Cross Breed,451,0.79,none,not_in_estrus,-0.62,1.18,0.11,1.51,0.13,0.06,10,healthy,healthy_not_in_estrus
cow_1,Cross Breed,432,1.7,standing_mount,in_estrus,-0.99,2.29,0.81,7.13,2.99,8.64,40,healthy,healthy_in_estrus
cow_4,Normal Breed,273,1.12,mounting_others,in_estrus,-0.2,-1.61,1.11,-6.31,-1.32,-0.31,31,unhealthy,unhealthy_in_estrus
cow_15,Normal Breed,374,1.03,mounting_others,in_estrus,0.59,-1.41,0.5,4.68,-1.32,-3.31,32,healthy,healthy_in_estrus
cow_17,Normal Breed,546,2.79,none,not_in_estrus,0.55,-0.05,0.23,1.15,-0.08,-0.52,6,unhealthy,unhealthy_not_in_estrus
cow_20,Cross Breed,121,0.66,none,not_in_estrus,-0.98,0.26,-0.4,-1.13,2.09,-1.46,9,unhealthy,unhealthy_not_in_estrus
cow_18,Normal Breed,396,0.8,restless,in_estrus,-4.45,-0.77,0.51,7.72,4.31,1.78,32,healthy,healthy_in_estrus
cow_5,Cross Breed,242,0.92,restless,in_estrus,-0.13,-1.54,1.1,2.65,-3.76,-1.94,26,unhealthy,unhealthy_in_estrus
cow_11,Normal Breed,258,1.01,none,not_in_estrus,-0.4,-0.09,-0.33,-2.6,0.61,0.43,8,unhealthy,unhealthy_not_in_estrus
cow_2,Cross Breed,539,0.89,none,not_in_estrus,-0.38,-0.52,0.4,0.15,-0.2,0.09,5,healthy,healthy_not_in_estrus
cow_2,Cross Breed,178,0.66,standing_mount,in_estrus,0.82,-0.32,0.84,2.21,-2.34,1.66,26,unhealthy,unhealthy_in_estrus
cow_16,Normal Breed,577,1.42,none,not_in_estrus,0.29,0.81,-0.99,-0.9,2.51,0.56,10,healthy,healthy_not_in_estrus
cow_1,Normal Breed,570,1.62,none,not_in_estrus,-0.82,-0.21,0.21,-1.74,-1.73,-0.53,7,healthy,healthy_not_in_estrus
cow_9,Cross Breed,433,4.99,mounting_others,in_estrus,0.2,4.14,-2.41,1.26,-6,1.42,28,unhealthy,unhealthy_in_estrus
cow_19,Cross Breed,494,2.68,standing_mount,in_estrus,-0.43,-2.53,0.32,1.51,1.7,-2.55,22,unhealthy,unhealthy_in_estrus
cow_17,Normal Breed,570,1.59,none,not_in_estrus,-0.19,0.54,-0.89,-0.11,2.64,0.7,5,healthy,healthy_not_in_estrus
cow_15,Cross Breed,580,1.01,none,not_in_estrus,0.25,-0.09,0.03,-0.57,-0.2,3.18,7,healthy,healthy_not_in_estrus
cow_20,Cross Breed,498,2.24,none,not_in_estrus,0.12,-0.42,0.17,-0.8,-0.79,2.17,5,unhealthy,unhealthy_not_in_estrus
cow_5,Cross Breed,366,3.81,restless,in_estrus,1.93,-0.88,0.73,-0.83,3.44,-8.51,29,unhealthy,unhealthy_in_estrus
cow_8,Cross Breed,483,4.61,restless,in_estrus,-1.31,-0.87,-1.32,2.69,-2.02,7.07,36,unhealthy,unhealthy_in_estrus
cow_15,Cross Breed,497,0.58,none,not_in_estrus,-0.69,-0.73,0.37,-2.82,0.18,-0.39,6,healthy,healthy_not_in_estrus
cow_2,Cross Breed,514,1.48,bellowing,in_estrus,0.1,-0.01,-0.78,-3.83,2.58,12.91,27,healthy,healthy_in_estrus
cow_12,Cross Breed,84,1.61,mounting_others,in_estrus,2.19,-0.31,2.61,6.23,8.63,6.63,27,unhealthy,unhealthy_in_estrus
cow_3,Cross Breed,421,1.9,none,not_in_estrus,0.34,0.12,-0.49,1.3,0.66,0.84,6,healthy,healthy_not_in_estrus
cow_18,Cross Breed,500,2.19,none,not_in_estrus,-0.17,0.38,0.01,1.95,1.69,0.04,5,unhealthy,unhealthy_not_in_estrus
cow_10,Cross Breed,435,2.11,none,not_in_estrus,-0.37,-0.21,-0.24,-0.63,-2.32,-0.27,7,unhealthy,unhealthy_not_in_estrus
cow_13,Normal Breed,342,0.95,bellowing,in_estrus,1.31,0.5,1.55,4.14,-3.51,0.17,22,unhealthy,unhealthy_in_estrus
cow_13,Normal Breed,154,0.96,none,not_in_estrus,-0.11,0.2,0.81,2.91,0.33,-0.79,5,unhealthy,unhealthy_not_in_estrus
cow_14,Cross Breed,564,1.52,none,not_in_estrus,0.12,0.08,0.46,0.93,0.48,1.15,8,healthy,healthy_not_in_estrus
cow_2,Normal Breed,550,1.27,none,not_in_estrus,-0.95,0.16,0.17,-1.15,-2.43,2.44,10,healthy,healthy_not_in_estrus
cow_18,Normal Breed,520,1.74,restless,in_estrus,1.49,-0.55,-1.66,-0.15,1.96,4.89,36,healthy,healthy_in_estrus
cow_16,Normal Breed,189,0.56,none,not_in_estrus,-0.15,-0.35,0.3,-1.22,0.8,-2.54,8,unhealthy,unhealthy_not_in_estrus
cow_9,Cross Breed,525,1.56,none,not_in_estrus,0.41,-0.2,0.21,-1.05,-1.17,-2.24,7,healthy,healthy_not_in_estrus
cow_1,Cross Breed,525,0.51,none,not_in_estrus,0.1,-0.61,0.71,-1.38,1.79,-0.77,6,healthy,healthy_not_in_estrus
cow_6,Normal Breed,568,4.83,none,not_in_estrus,0.1,-0.5,0.03,-0.08,-0.67,-0.99,9,unhealthy,unhealthy_not_in_estrus
cow_18,Normal Breed,519,1.77,restless,in_estrus,-1.5,-1.52,1.34,7.5,7.8,7.31,40,healthy,healthy_in_estrus
cow_20,Normal Breed,582,2.71,none,not_in_estrus,0.75,-0.87,-0.71,0.06,0.58,0.96,6,unhealthy,unhealthy_not_in_estrus
cow_4,Normal Breed,284,1.87,mounting_others,in_estrus,-1.16,-1.15,0.81,-6.47,0.37,-5.89,24,unhealthy,unhealthy_in_estrus
cow_19,Cross Breed,501,3.35,none,not_in_estrus,0.36,-0.28,0.47,1.22,-0.05,1.46,7,unhealthy,unhealthy_not_in_estrus
cow_8,Normal Breed,588,4.41,none,not_in_estrus,0.02,0.68,-0.65,-2.21,2.49,-2.45,9,unhealthy,unhealthy_not_in_estrus
cow_17,Normal Breed,546,4.44,none,not_in_estrus,-0.44,0.11,-0.32,-3.7,-0.44,1.47,10,unhealthy,unhealthy_not_in_estrus
cow_6,Cross Breed,233,0.86,none,not_in_estrus,0,-0.07,-0.61,-0.43,-3.06,0.91,8,unhealthy,unhealthy_not_in_estrus
cow_4,Cross Breed,460,4.78,none,not_in_estrus,-0.38,0.15,0.36,1.12,-1.72,-2.63,6,unhealthy,unhealthy_not_in_estrus
cow_5,Normal Breed,589,1.99,none,not_in_estrus,0.61,-0.11,-0.75,0.48,-0.83,-0.94,7,healthy,healthy_not_in_estrus
cow_20,Cross Breed,238,1.16,restless,in_estrus,-0.27,0.51,1.08,-0.81,1.11,-0.58,21,unhealthy,unhealthy_in_estrus
cow_15,Cross Breed,259,0.87,none,not_in_estrus,0.01,0.08,0.66,0.73,-1.61,0.99,6,unhealthy,unhealthy_not_in_estrus
cow_20,Cross Breed,185,1.86,standing_mount,in_estrus,0.28,-0.34,-2.31,-4.98,-1.07,-3.37,30,unhealthy,unhealthy_in_estrus
cow_2,Cross Breed,452,0.54,mounting_others,in_estrus,-0.48,-1.48,1.14,0.78,1.95,-0.52,31,healthy,healthy_in_estrus
cow_17,Cross Breed,484,1.74,none,not_in_estrus,0.16,-0.29,-0.6,1.25,0.01,-1.28,5,healthy,healthy_not_in_estrus
cow_6,Normal Breed,583,1.88,none,not_in_estrus,-0.05,0.43,0.16,-2.15,-1.26,0.56,6,healthy,healthy_not_in_estrus
cow_8,Normal Breed,543,0.99,bellowing,in_estrus,-2,1.09,2.3,-3.92,8.89,1.2,30,healthy,healthy_in_estrus
cow_14,Cross Breed,468,1.41,standing_mount,in_estrus,0.37,-1.54,-3.82,0.5,-2.75,0.39,20,healthy,healthy_in_estrus
cow_6,Normal Breed,396,0.7,mounting_others,in_estrus,-0.93,-2.48,0.13,0.24,-1.25,8.36,39,healthy,healthy_in_estrus
cow_18,Cross Breed,185,1.51,standing_mount,in_estrus,-0.66,-0.11,1.84,4.77,-5.25,-2.38,28,unhealthy,unhealthy_in_estrus
cow_1,Normal Breed,419,0.54,none,not_in_estrus,0.1,1.51,-0.45,0.05,0.33,0.44,5,healthy,healthy_not_in_estrus
cow_14,Normal Breed,261,1.17,none,not_in_estrus,-1.13,-0.34,-0.78,-0.84,-0.18,0.16,5,unhealthy,unhealthy_not_in_estrus
cow_8,Normal Breed,406,2.3,none,not_in_estrus,0.47,-0.09,-0.51,-0.88,-1.65,-0.79,8,unhealthy,unhealthy_not_in_estrus
cow_3,Normal Breed,455,3.21,none,not_in_estrus,0.17,1.09,-0.24,-3.79,-1.22,-0.1,9,unhealthy,unhealthy_not_in_estrus
cow_6,Cross Breed,431,4.42,none,not_in_estrus,-0.07,-0.8,-0.09,0.55,2.57,0.4,10,unhealthy,unhealthy_not_in_estrus
cow_18,Normal Breed,229,1.16,none,not_in_estrus,-0.24,-0.22,0.06,1.61,-1.28,-2.73,7,unhealthy,unhealthy_not_in_estrus
cow_11,Cross Breed,431,3.72,none,not_in_estrus,0.91,-0.79,-0.08,0.87,-0.36,1.41,10,unhealthy,unhealthy_not_in_estrus
cow_17,Cross Breed,170,0.53,none,not_in_estrus,-0.13,-1.01,-0.2,2.46,0.87,0.36,9,unhealthy,unhealthy_not_in_estrus
cow_10,Normal Breed,345,2.49,bellowing,in_estrus,-1.83,-0.08,-0.17,5.33,3.78,0.93,32,unhealthy,unhealthy_in_estrus
cow_18,Cross Breed,472,1.25,standing_mount,in_estrus,1.07,1.61,-0.22,3.62,-5.29,-1.75,29,healthy,healthy_in_estrus
cow_20,Cross Breed,515,1.83,standing_mount,in_estrus,1.99,0.77,0.56,-1.31,-3.23,2.91,22,healthy,healthy_in_estrus
cow_12,Normal Breed,531,0.74,none,not_in_estrus,0.69,0.28,-0.23,0.71,0.9,-1.39,6,healthy,healthy_not_in_estrus
cow_11,Cross Breed,199,1.01,standing_mount,in_estrus,-4.25,1.05,0.93,0.87,-3.66,-8.39,33,unhealthy,unhealthy_in_estrus
cow_2,Cross Breed,244,0.9,none,not_in_estrus,-0.01,1.03,-0.44,1.82,-1.88,0.75,9,unhealthy,unhealthy_not_in_estrus
cow_13,Normal Breed,404,3.82,none,not_in_estrus,-0.59,0.41,0.19,0.35,-1.37,0.49,9,unhealthy,unhealthy_not_in_estrus
cow_9,Normal Breed,464,0.95,standing_mount,in_estrus,0.52,-1.63,0.9,-2.18,3.33,-7.01,38,healthy,healthy_in_estrus
cow_9,Cross Breed,320,1.93,none,not_in_estrus,-0.07,0.48,-0.72,-1.75,-0.51,-1.28,8,unhealthy,unhealthy_not_in_estrus
cow_9,Cross Breed,498,1.43,none,not_in_estrus,0.03,-0.43,-0.17,-1.13,-2.25,0.04,5,healthy,healthy_not_in_estrus
cow_7,Normal Breed,104,1.35,none,not_in_estrus,-0.56,0.12,-0.73,1.12,-0.82,-1.04,6,unhealthy,unhealthy_not_in_estrus
cow_15,Cross Breed,502,0.91,none,not_in_estrus,0.95,-0.3,-1.24,-0.01,3.97,-0.13,6,healthy,healthy_not_in_estrus
cow_4,Cross Breed,294,1.13,none,not_in_estrus,0.11,0.87,0.92,-0.73,-1.27,-2.8,7,unhealthy,unhealthy_not_in_estrus
cow_10,Cross Breed,440,1,none,not_in_estrus,0.05,0.01,0.61,-1.48,-0.96,-0.51,7,healthy,healthy_not_in_estrus
cow_14,Normal Breed,450,1,mounting_others,in_estrus,0.09,1.85,1.35,-2.9,-0.02,-7.35,39,healthy,healthy_in_estrus
cow_12,Normal Breed,556,0.76,none,not_in_estrus,-0.23,0.5,0.43,4.08,-0.54,-0.35,6,healthy,healthy_not_in_estrus
cow_1,Cross Breed,403,1.43,none,not_in_estrus,0.69,0.51,0.1,1.14,-1.07,1.26,6,healthy,healthy_not_in_estrus
cow_18,Normal Breed,397,1.74,restless,in_estrus,-0.43,-0.74,0.95,2.73,5.05,-5.28,22,healthy,healthy_in_estrus
cow_6,Cross Breed,499,1.84,none,not_in_estrus,0.38,-0.03,0.05,0.35,1.32,-0.94,7,healthy,healthy_not_in_estrus
cow_15,Normal Breed,413,1.88,none,not_in_estrus,0.83,0.12,0.12,1.41,1.1,-0.84,7,healthy,healthy_not_in_estrus
cow_7,Cross Breed,428,1.22,none,not_in_estrus,-0.39,-0.11,0.45,-0.06,2.29,-1.67,5,healthy,healthy_not_in_estrus
cow_3,Cross Breed,505,1.12,restless,in_estrus,-1.78,0.41,0.84,1.26,6.2,-0.42,40,healthy,healthy_in_estrus
cow_18,Cross Breed,509,0.81,mounting_others,in_estrus,-0.95,0.94,0.13,-5.21,0.83,-3.14,24,healthy,healthy_in_estrus
cow_1,Normal Breed,514,2.87,standing_mount,in_estrus,-2.56,-0.36,-0.99,-9.54,5.34,10.07,30,unhealthy,unhealthy_in_estrus
cow_19,Cross Breed,572,1.17,none,not_in_estrus,0.1,0.06,1.01,-1.41,-0.26,2.52,8,healthy,healthy_not_in_estrus
cow_14,Normal Breed,459,3.93,none,not_in_estrus,0.33,0.53,-0.22,-1.08,0.41,-1.05,9,unhealthy,unhealthy_not_in_estrus
cow_19,Cross Breed,559,0.83,none,not_in_estrus,-0.29,0.85,0.17,-2.29,-0.42,-1.62,10,healthy,healthy_not_in_estrus
cow_15,Normal Breed,80,0.67,restless,in_estrus,-2.27,0.19,0.88,-3.71,-0.89,2.6,28,unhealthy,unhealthy_in_estrus
cow_6,Cross Breed,563,1.95,mounting_others,in_estrus,0.02,-0.94,-2.95,7.78,-3.98,-10.65,31,healthy,healthy_in_estrus
cow_9,Cross Breed,467,0.58,standing_mount,in_estrus,-0.37,-2.25,-1.11,7.08,-3.91,1.47,25,healthy,healthy_in_estrus
cow_12,Cross Breed,529,0.93,none,not_in_estrus,-0.39,0.32,0.21,2.43,0.74,-1.28,5,healthy,healthy_not_in_estrus
cow_5,Normal Breed,435,4.86,none,not_in_estrus,-0.16,-0.29,0.05,-0.28,0.77,-0.13,5,unhealthy,unhealthy_not_in_estrus
cow_5,Normal Breed,511,1.2,standing_mount,in_estrus,2.98,-1.73,3.29,8.87,8.57,-6.56,31,healthy,healthy_in_estrus
cow_9,Normal Breed,416,1.45,restless,in_estrus,3.11,0.24,1.34,-3.62,6.57,5.02,28,healthy,healthy_in_estrus
cow_11,Cross Breed,337,1.12,none,not_in_estrus,0.3,-0.77,-0.76,1.07,-0.54,-0.54,7,unhealthy,unhealthy_not_in_estrus
cow_7,Cross Breed,428,1.38,mounting_others,in_estrus,0.39,-2.37,-1.78,6.53,-5.86,-1.62,23,healthy,healthy_in_estrus
cow_14,Normal Breed,495,1.2,none,not_in_estrus,-0.13,0.08,0.36,-1.04,2.14,-0.32,7,healthy,healthy_not_in_estrus
cow_12,Normal Breed,132,1.21,none,not_in_estrus,-0.66,0.14,-0.09,-1.03,4.08,-0.43,6,unhealthy,unhealthy_not_in_estrus
cow_6,Normal Breed,465,0.69,none,not_in_estrus,-0.42,-0.12,0.42,0.01,0.5,1.74,5,healthy,healthy_not_in_estrus
cow_3,Cross Breed,254,1.75,bellowing,in_estrus,0.08,0.55,-3.4,-3.91,-12.43,-3.14,33,unhealthy,unhealthy_in_estrus
cow_14,Cross Breed,476,1.88,none,not_in_estrus,-0.54,0.4,1.06,1,0.05,-1.85,8,healthy,healthy_not_in_estrus
cow_19,Normal Breed,125,1.43,bellowing,in_estrus,-0.3,-2.82,-0.72,-3.02,3.4,3.17,22,unhealthy,unhealthy_in_estrus
cow_16,Normal Breed,383,4.01,standing_mount,in_estrus,-0.86,-1.24,3.6,-0.64,-3.24,-7.22,33,unhealthy,unhealthy_in_estrus
cow_8,Normal Breed,512,1.78,standing_mount,in_estrus,-0.9,0.37,0.37,-4.48,-6.43,-1.2,20,healthy,healthy_in_estrus
cow_4,Cross Breed,271,1.49,none,not_in_estrus,0.51,0.07,-0.03,0.17,0.79,-1.55,6,unhealthy,unhealthy_not_in_estrus
cow_17,Normal Breed,397,1.05,bellowing,in_estrus,1.24,0.74,1.58,-9.85,-4.63,0.52,35,healthy,healthy_in_estrus
cow_2,Cross Breed,512,1.21,none,not_in_estrus,0.61,-0.09,0.14,0.54,2.07,0.2,8,healthy,healthy_not_in_estrus
cow_1,Normal Breed,492,1.65,none,not_in_estrus,-1.22,-0.47,0.03,-2.15,0.43,-1.8,10,healthy,healthy_not_in_estrus
cow_20,Normal Breed,284,0.73,none,not_in_estrus,0.69,0.11,-0.38,1.34,1.03,1.79,8,unhealthy,unhealthy_not_in_estrus
cow_14,Normal Breed,521,3.13,standing_mount,in_estrus,1.77,-1.72,-2.59,5.97,0.41,-7.38,25,unhealthy,unhealthy_in_estrus
cow_1,Cross Breed,513,1.82,standing_mount,in_estrus,-0.18,2.17,1.65,-1.03,-5.94,-0.35,25,healthy,healthy_in_estrus
cow_20,Normal Breed,240,1.65,bellowing,in_estrus,0.08,-0.44,-2.55,1.81,-1.33,-3.97,40,unhealthy,unhealthy_in_estrus
cow_18,Cross Breed,113,0.8,restless,in_estrus,0.82,0.96,0.09,-1.69,-0.41,-1.48,25,unhealthy,unhealthy_in_estrus
cow_17,Normal Breed,475,1.57,none,not_in_estrus,0.25,0.48,-0.17,1.42,0.07,-0.51,7,healthy,healthy_not_in_estrus
cow_12,Normal Breed,405,1.7,none,not_in_estrus,0.57,1.43,-0.45,0.05,0.57,0.59,9,healthy,healthy_not_in_estrus
cow_16,Cross Breed,575,4.23,none,not_in_estrus,-0.44,0.14,0.66,0.2,0.47,2.72,5,unhealthy,unhealthy_not_in_estrus
cow_12,Normal Breed,164,0.83,standing_mount,in_estrus,1.01,-0.85,0.63,-1.82,-3.25,5.68,31,unhealthy,unhealthy_in_estrus
cow_19,Normal Breed,434,2.34,none,not_in_estrus,-0.04,-0.06,0.04,0.46,0.37,1.15,6,unhealthy,unhealthy_not_in_estrus
cow_8,Cross Breed,420,1.2,none,not_in_estrus,-0.13,0.49,0.05,-1.1,-1.16,-0.25,10,healthy,healthy_not_in_estrus
cow_4,Cross Breed,480,1.6,none,not_in_estrus,-0.41,-0.03,0.13,1.07,0.48,0.62,7,healthy,healthy_not_in_estrus
cow_17,Normal Breed,371,0.94,bellowing,in_estrus,-2.01,1.33,-1.29,6.67,-5.97,-0.6,24,healthy,healthy_in_estrus
cow_8,Normal Breed,372,1.19,standing_mount,in_estrus,0.55,-0.78,0.33,-5.25,2.77,-1.3,38,healthy,healthy_in_estrus
cow_11,Cross Breed,576,4.27,none,not_in_estrus,0,-0.13,0.23,2.18,1.7,-1.65,10,unhealthy,unhealthy_not_in_estrus
cow_5,Cross Breed,458,3.19,none,not_in_estrus,0.32,0.02,-0.8,0.35,0.88,-0.19,5,unhealthy,unhealthy_not_in_estrus
cow_5,Normal Breed,444,4.78,none,not_in_estrus,0.25,-0.41,-0.59,-0.88,-0.4,0.03,9,unhealthy,unhealthy_not_in_estrus
cow_4,Normal Breed,394,1.9,mounting_others,in_estrus,4.06,2.83,4.2,-6.21,-2.3,5.6,37,healthy,healthy_in_estrus
cow_18,Cross Breed,334,0.97,none,not_in_estrus,0.14,0.27,-0.01,0.26,-2.51,-0.69,6,unhealthy,unhealthy_not_in_estrus
cow_11,Cross Breed,414,0.51,none,not_in_estrus,0.31,-0.02,-0.12,0.23,-0.4,1.6,9,healthy,healthy_not_in_estrus
cow_16,Cross Breed,353,0.83,restless,in_estrus,-0.72,-2.26,-0.86,1.6,3.31,0.98,31,healthy,healthy_in_estrus
cow_18,Normal Breed,147,0.56,none,not_in_estrus,0.28,-0.52,-0.69,-1.56,-1.52,0.58,8,unhealthy,unhealthy_not_in_estrus
cow_1,Cross Breed,457,4.03,none,not_in_estrus,-0.03,-0.64,0.23,1.16,-1.5,2.02,10,unhealthy,unhealthy_not_in_estrus
